ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
node0:decoder:branch_unit,branch_cache_hit,1,Accumulator,37374052,0,5733,5733,5733,1,1
node0:decoder:branch_unit,branch_cache_miss,1,Accumulator,37374052,0,415,415,415,1,1
node0:decoder:branch_unit,branch_cache_castout,1,Accumulator,37374052,0,0,0,0,0,0
node0:lsq,loads_issued,1,Accumulator,37374052,0,2033,2033,2033,1,1
node0:lsq,stores_issued,1,Accumulator,37374052,0,1809,1809,1809,1,1
node0:lsq,fences_issued,1,Accumulator,37374052,0,2,2,2,1,1
node0:lsq,loads_executed,1,Accumulator,37374052,0,1891,1891,1891,1,1
node0:lsq,stores_executed,1,Accumulator,37374052,0,1736,1736,1736,1,1
node0:lsq,fences_executed,1,Accumulator,37374052,0,2,2,2,1,1
node0:lsq,bytes_read,1,Accumulator,37374052,0,14294,107670,2010,1,8
node0:lsq,bytes_stored,1,Accumulator,37374052,0,13302,104138,1736,1,8
node0:lsq,store_buffer_entries,1,Accumulator,37374052,0,9089,19881,89626,0,7
node0:lsq,stores_in_flight,1,Accumulator,37374052,0,31085,113915,89626,0,14
node0:lsq,loads_in_flight,1,Accumulator,37374052,0,57523,185875,89626,0,11
node0:lsq,operations_pending,,Accumulator,37374052,0,5437,12457,89626,0,8
node0,instructions_retired,1,Accumulator,37374052,0,23033,32311,89626,0,2
node0,instructions_decoded,1,Accumulator,37374052,0,32000,39698,89626,0,2
node0,instructions_issued,1,Accumulator,37374052,0,25078,31592,89626,0,2
node0,loads_issued,1,Accumulator,37374052,0,2033,2033,2033,1,1
node0,stores_issued,1,Accumulator,37374052,0,1809,1809,1809,1,1
node0,branch_mispredicts,1,Accumulator,37374052,0,828,828,828,1,1
node0,branches,1,Accumulator,37374052,0,4311,4311,4311,1,1
node0,cycles,1,Accumulator,37374052,0,89626,89626,89626,1,1
node0,rob_slots_in_use,1,Accumulator,37374052,0,611651,14880983,89626,0,63
node0,rob_cleared_entries,1,Accumulator,37374052,0,8961,286941,828,0,62
node0,syscall-cycles,1,Accumulator,37374052,0,2,2,2,1,1
node0,phys_int_reg_in_use,1,Accumulator,37374052,0,3358015,126437203,89626,35,49
node0,phys_fp_reg_in_use,1,Accumulator,37374052,0,2868032,91777024,89626,32,32
memory_directory,default_stat,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,replacement_request_latency,,Accumulator,37374052,0,15410,878146,1928,5,395
memory_directory,get_request_latency,,Accumulator,37374052,0,58054,3065042,5137,8,407
memory_directory,directory_cache_hits,,Accumulator,37374052,0,7065,7065,7065,1,1
memory_directory,mshr_hits,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,GetX_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,GetS_recv,,Accumulator,37374052,0,5137,5137,5137,1,1
memory_directory,GetSX_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,Write_recv,,Accumulator,37374052,0,1928,1928,1928,1,1
memory_directory,PutM_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,PutX_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,PutE_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,PutS_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,NACK_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,FetchResp_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,FetchXResp_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,GetSResp_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,GetXResp_recv,,Accumulator,37374052,0,5137,5137,5137,1,1
memory_directory,WriteResp_recv,,Accumulator,37374052,0,1928,1928,1928,1,1
memory_directory,ForceInv_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,FetchInv_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,AckInv_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,AckFlush_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,FlushLine_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,FlushLineInv_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,FlushAll_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,FlushLineResp_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,GetS_uncache_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,Write_uncache_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,GetSX_uncache_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,GetSResp_uncache_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,WriteResp_uncache_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,CustomReq_uncache_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,CustomResp_uncache_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,CustomAck_uncache_recv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_GetS,,Accumulator,37374052,0,5137,5137,5137,1,1
memory_directory,eventSent_GetX,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_GetSX,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_Write,,Accumulator,37374052,0,1928,1928,1928,1,1
memory_directory,eventSent_PutM,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_Inv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_FetchInv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_FetchInvX,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_ForceInv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_ForwardFlush,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_NACK,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_GetSResp,,Accumulator,37374052,0,5137,5137,5137,1,1
memory_directory,eventSent_GetXResp,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_WriteResp,,Accumulator,37374052,0,1928,1928,1928,1,1
memory_directory,eventSent_FetchResp,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_AckInv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_AckPut,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_FlushLine,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_FlushLineInv,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_FlushLineResp,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_FlushAllResp,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_UnblockFlush,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_read_directory_entry,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,eventSent_write_directory_entry,,Accumulator,37374052,0,0,0,0,0,0
memory_directory,MSHR_occupancy,,Accumulator,37374052,0,57882,165020,44863,0,11
memory_controller,requests_received_GetS,,Accumulator,37374052,0,5137,5137,5137,1,1
memory_controller,requests_received_GetSX,,Accumulator,37374052,0,0,0,0,0,0
memory_controller,requests_received_GetX,,Accumulator,37374052,0,0,0,0,0,0
memory_controller,requests_received_Write,,Accumulator,37374052,0,1928,1928,1928,1,1
memory_controller,requests_received_PutM,,Accumulator,37374052,0,0,0,0,0,0
memory_controller,outstanding_requests,,Accumulator,37374052,0,28970,43616,44866,0,6
memory_controller,latency_GetS,,Accumulator,37374052,0,25877,1910019,5137,4,379
memory_controller,latency_GetSX,,Accumulator,37374052,0,0,0,0,0,0
memory_controller,latency_GetX,,Accumulator,37374052,0,0,0,0,0,0
memory_controller,latency_Write,,Accumulator,37374052,0,3093,293137,1928,1,381
memory_controller,latency_PutM,,Accumulator,37374052,0,0,0,0,0,0
memory_controller,cycles_with_issue,,Accumulator,37374052,0,6603,6603,6603,1,1
memory_controller,cycles_attempted_issue_but_rejected,,Accumulator,37374052,0,0,0,0,0,0
memory_controller,total_cycles,,Accumulator,37374052,0,44866,2012957956,1,44866,44866
